  Element 13: Al      Atomic mass:   26.9815
   10900.00      0.1399718      0.1351818    
   11000.00      0.1380888      0.1327422    
   11100.00      0.1362403      0.1303663    
   11200.00      0.1344257      0.1280519    
   11300.00      0.1326442      0.1257969    
   11400.00      0.1308949      0.1235992    
   11500.00      0.1291770      0.1214571    
   11600.00      0.1274900      0.1193685    
   11700.00      0.1258330      0.1173319    
   11800.00      0.1242053      0.1153454    
   11900.00      0.1226064      0.1134075    
   12000.00      0.1210354      0.1115166    
   12100.00      0.1194919      0.1096712    
   12200.00      0.1179751      0.1078699    
   12300.00      0.1164845      0.1061113    
   12400.00      0.1150195      0.1043941    
   12500.00      0.1135794      0.1027170    
   12600.00      0.1121638      0.1010787    
   12700.00      0.1107721      9.9478133E-02
   12800.00      0.1094037      9.7914107E-02
   12900.00      0.1080582      9.6385546E-02
   13000.00      0.1067350      9.4891384E-02
   13100.00      0.1054337      9.3430609E-02
   13200.00      0.1041538      9.2002258E-02
   13300.00      0.1028947      9.0605363E-02
   13400.00      0.1016562      8.9239046E-02
   13500.00      0.1004376      8.7902404E-02
   13600.00      9.9238679E-02  8.6594604E-02
   13700.00      9.8058924E-02  8.5314840E-02
   13800.00      9.6897922E-02  8.4062308E-02
   13900.00      9.5755316E-02  8.2836263E-02
   14000.00      9.4630681E-02  8.1635959E-02
   14100.00      9.3523666E-02  8.0460690E-02
   14200.00      9.2433907E-02  7.9309791E-02
   14300.00      9.1361031E-02  7.8182571E-02
   14400.00      9.0304710E-02  7.7078417E-02
   14500.00      8.9264572E-02  7.5996697E-02
   14600.00      8.8240311E-02  7.4936815E-02
   14700.00      8.7231614E-02  7.3898204E-02
   14800.00      8.6238131E-02  7.2880290E-02
   14900.00      8.5259594E-02  7.1882553E-02
   15000.00      8.4295675E-02  7.0904449E-02
   15100.00      8.3346091E-02  6.9945484E-02
   15200.00      8.2410567E-02  6.9005169E-02
   15300.00      8.1488810E-02  6.8083018E-02
   15400.00      8.0580562E-02  6.7178592E-02
   15500.00      7.9685539E-02  6.6291422E-02
   15600.00      7.8803502E-02  6.5421090E-02
   15700.00      7.7934206E-02  6.4567178E-02
   15800.00      7.7077374E-02  6.3729279E-02
   15900.00      7.6232798E-02  6.2906995E-02
   16000.00      7.5400226E-02  6.2099952E-02
   16100.00      7.4579425E-02  6.1307777E-02
   16200.00      7.3770180E-02  6.0530111E-02
   16300.00      7.2972290E-02  5.9766624E-02
   16400.00      7.2185509E-02  5.9016950E-02
   16500.00      7.1409643E-02  5.8280770E-02
   16600.00      7.0644490E-02  5.7557773E-02
   16700.00      6.9889851E-02  5.6847651E-02
   16800.00      6.9145538E-02  5.6150112E-02
   16900.00      6.8411350E-02  5.5464841E-02
   17000.00      6.7687102E-02  5.4791566E-02
   17100.00      6.6972613E-02  5.4130018E-02
   17200.00      6.6267721E-02  5.3479929E-02
   17300.00      6.5572247E-02  5.2841045E-02
   17400.00      6.4886004E-02  5.2213095E-02
   17500.00      6.4208835E-02  5.1595848E-02
   17600.00      6.3540585E-02  5.0989062E-02
   17700.00      6.2881097E-02  5.0392505E-02
   17800.00      6.2230218E-02  4.9805965E-02
   17900.00      6.1587781E-02  4.9229197E-02
   18000.00      6.0953643E-02  4.8662003E-02
   18100.00      6.0327668E-02  4.8104174E-02
   18200.00      5.9709709E-02  4.7555506E-02
   18300.00      5.9099637E-02  4.7015816E-02
   18400.00      5.8497295E-02  4.6484891E-02
   18500.00      5.7902563E-02  4.5962550E-02
   18600.00      5.7315309E-02  4.5448616E-02
   18700.00      5.6735408E-02  4.4942915E-02
   18800.00      5.6162745E-02  4.4445280E-02
   18900.00      5.5597175E-02  4.3955524E-02
   19000.00      5.5038590E-02  4.3473493E-02
   19100.00      5.4486874E-02  4.2999033E-02
   19200.00      5.3941913E-02  4.2531982E-02
   19300.00      5.3403601E-02  4.2072203E-02
   19400.00      5.2871812E-02  4.1619524E-02
   19500.00      5.2346446E-02  4.1173819E-02
   19600.00      5.1827401E-02  4.0734943E-02
   19700.00      5.1314570E-02  4.0302757E-02
   19800.00      5.0807860E-02  3.9877143E-02
   19900.00      5.0307158E-02  3.9457947E-02
   20000.00      4.9812373E-02  3.9045054E-02
   20100.00      4.9323410E-02  3.8638342E-02
   20200.00      4.8840173E-02  3.8237687E-02
   20300.00      4.8362583E-02  3.7842982E-02
   20400.00      4.7890533E-02  3.7454091E-02
   20500.00      4.7423940E-02  3.7070919E-02
   20600.00      4.6962719E-02  3.6693346E-02
   20700.00      4.6506789E-02  3.6321271E-02
   20800.00      4.6056069E-02  3.5954595E-02
   20900.00      4.5610469E-02  3.5593200E-02
   21000.00      4.5169909E-02  3.5236999E-02
   21100.00      4.4734314E-02  3.4885891E-02
   21200.00      4.4303607E-02  3.4539782E-02
   21300.00      4.3877721E-02  3.4198582E-02
   21400.00      4.3456566E-02  3.3862192E-02
   21500.00      4.3040074E-02  3.3530530E-02
   21600.00      4.2628180E-02  3.3203505E-02
   21700.00      4.2220809E-02  3.2881036E-02
   21800.00      4.1817904E-02  3.2563042E-02
   21900.00      4.1419376E-02  3.2249436E-02
   22000.00      4.1025169E-02  3.1940144E-02
   22100.00      4.0635221E-02  3.1635083E-02
   22200.00      4.0249467E-02  3.1334180E-02
   22300.00      3.9867848E-02  3.1037370E-02
   22400.00      3.9490290E-02  3.0744568E-02
   22500.00      3.9116740E-02  3.0455707E-02
   22600.00      3.8747136E-02  3.0170718E-02
   22700.00      3.8381424E-02  2.9889535E-02
   22800.00      3.8019549E-02  2.9612094E-02
   22900.00      3.7661444E-02  2.9338324E-02
   23000.00      3.7307058E-02  2.9068165E-02
   23100.00      3.6956336E-02  2.8801553E-02
   23200.00      3.6609225E-02  2.8538428E-02
   23300.00      3.6265679E-02  2.8278736E-02
   23400.00      3.5925634E-02  2.8022410E-02
   23500.00      3.5589043E-02  2.7769398E-02
   23600.00      3.5255857E-02  2.7519641E-02
   23700.00      3.4926023E-02  2.7273087E-02
   23800.00      3.4599505E-02  2.7029688E-02
   23900.00      3.4276240E-02  2.6789378E-02
   24000.00      3.3956185E-02  2.6552116E-02
   24100.00      3.3639293E-02  2.6317848E-02
   24200.00      3.3325519E-02  2.6086524E-02
   24300.00      3.3014823E-02  2.5858104E-02
   24400.00      3.2707151E-02  2.5632529E-02
   24500.00      3.2402463E-02  2.5409756E-02
   24600.00      3.2100718E-02  2.5189742E-02
   24700.00      3.1801868E-02  2.4972443E-02
   24800.00      3.1505883E-02  2.4757817E-02
   24900.00      3.1212706E-02  2.4545815E-02
